ticker,report_pair_id,earlier_period_end,later_period_end,score_a,score_b,score_c,delta_ab,delta_ac,new_rate_words_a,new_rate_words_b,new_rate_words_c,removed_rate_words_a,removed_rate_words_b,removed_rate_words_c,substantially_modified_rate_words_a,substantially_modified_rate_words_b,substantially_modified_rate_words_c,ambiguous_rate_words_a,ambiguous_rate_words_b,ambiguous_rate_words_c,alignment_coverage_words_a,alignment_coverage_words_b,alignment_coverage_words_c,feature_quality_a,feature_quality_b,feature_quality_c,primary_eligible_a,primary_eligible_b,primary_eligible_c,quality_changed_b,quality_changed_c,primary_eligibility_changed_b,primary_eligibility_changed_c,words_excluded_b,words_excluded_c,pct_eligible_words_removed_b,pct_eligible_words_removed_c,coverage_threshold_failed_b,coverage_threshold_failed_c,stored_disclosure_change_score
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,2020-06-30,2021-06-30,0.4832133161551557,0.48221176771612334,0.48221176771612334,-0.0010015484390323848,-0.0010015484390323848,0.17510237887084157,0.17371279701329365,0.17371279701329365,0.1381309529287259,0.13758853700236098,0.13758853700236098,0.16458841393272902,0.16640885777090286,0.16640885777090286,0.02921823954355128,0.028169014084507043,0.028169014084507043,1.0,0.9895983687309552,0.9883382592159827,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,475.5,475.5,0.010939584962959555,0.010939584962959555,False,False,0.4832133161551557
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,2016-06-30,2017-06-30,0.5876890246289987,0.5906108196826827,0.5906108196826827,0.002921795053683951,0.002921795053683951,0.15048357414150906,0.15387957390660703,0.15387957390660703,0.25513919887231296,0.2566858687606604,0.2566858687606604,0.17995222992286308,0.17831397032793744,0.17831397032793744,0.09715337327225028,0.09981334277346893,0.09981334277346893,1.0,0.9688224328562833,0.9684574945505834,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,1701.5,1701.5,0.026649438114256626,0.026649438114256626,False,False,0.5876890246289987
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,2017-06-30,2018-06-30,0.568427530107754,0.5696423140424053,0.5693801778686207,0.0012147839346512423,0.0009526477608666761,0.14441157828016057,0.14476885644768855,0.14396921002848506,0.1997675892668498,0.20540059089329163,0.20559264171867186,0.21724065075005283,0.21218934654153632,0.21238774489551848,0.12839636594126347,0.12775895029544665,0.12787840570571224,1.0,0.9669619057864477,0.9652765326735276,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,1298.0,1341.0,0.027424466511726177,0.028332981195858864,False,False,0.568427530107754
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,2018-06-30,2019-06-30,0.5458640111912826,0.546073043785846,0.5459507999747043,0.0002090325945633964,8.67887834217207e-05,0.22178864182987287,0.22165794992293894,0.22191867450831596,0.151180483973887,0.1528588392834584,0.15303863909441598,0.16383203259215628,0.1615503170873443,0.16056409283500916,0.06263191478918176,0.06447863766138609,0.06455448049073548,1.0,0.9691336467427804,0.9668905305574211,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,1167.0,1213.5,0.02864084818141658,0.029782064497128554,False,False,0.5458640111912826
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,2019-06-30,2020-06-30,0.5485772639527319,0.547079332667159,0.546749956506611,-0.001497931285572851,-0.0018273074461209182,0.2679735076736026,0.2699091975496372,0.2702026791927627,0.15569041092968441,0.15855671894686535,0.15764178844815588,0.12205240873265574,0.11130903245427293,0.11143006263048016,0.06006633746787112,0.06117217708650128,0.061238691718858734,1.0,0.9777642218075691,0.9763528060858332,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,847.5,897.5,0.01807749325426874,0.019144012030331795,False,False,0.5485772639527319
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,2023-06-30,2024-06-30,0.42275829809170146,0.4232594542843466,0.4232594542843466,0.0005011561926451247,0.0005011561926451247,0.12326138630874534,0.12361895643848732,0.12361895643848732,0.08146783385678692,0.0817041646720919,0.0817041646720919,0.14600059186849065,0.14642412637625657,0.14642412637625657,0.0852099701201875,0.0854571565342269,0.0854571565342269,1.0,0.990559538218043,0.9896471464481892,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,151.5,151.5,0.0028925185913529924,0.0028925185913529924,False,False,0.42275829809170146
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,2022-06-30,2023-06-30,0.4670246863066012,0.4666527815893676,0.4666527815893676,-0.0003719047172335843,-0.0003719047172335843,0.14702673213311512,0.14792017877445407,0.14792017877445407,0.14576026810069365,0.14468577253303014,0.14468577253303014,0.14466916062660742,0.14554828086407653,0.14554828086407653,0.07963136154625516,0.07805700395969734,0.07805700395969734,1.0,0.9905173003115325,0.9896286024004609,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,310.0,310.0,0.006040059231548593,0.006040059231548593,False,False,0.4670246863066012
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,2021-06-30,2022-06-30,0.4203599160891388,0.41796593041720803,0.41796593041720803,-0.002393985671930776,-0.002393985671930776,0.17632263945787433,0.17718848208237553,0.17718848208237553,0.10594295379411087,0.1039411000433088,0.1039411000433088,0.08022054058803502,0.07818902621847619,0.07818902621847619,0.05421256685960307,0.052592419850973335,0.052592419850973335,1.0,0.9889759055506154,0.9879367051992157,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,499.0,499.0,0.01096113081966853,0.01096113081966853,False,False,0.4203599160891388
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2016-06-30,2024-06-30,0.7134357503755292,0.7150149348894264,0.7150149348894264,0.0015791845138971583,0.0015791845138971583,0.3298511538986754,0.3339039315836527,0.3339039315836527,0.3193636487778233,0.31716022260262106,0.31716022260262106,0.1540420592653284,0.1547545618983596,0.1547545618983596,0.04916018025399427,0.04989847047327313,0.04989847047327313,1.0,0.9820135810090354,0.9815646220326618,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,1083.5,1083.5,0.014795848695889662,0.014795848695889662,False,False,0.7134357503755292
BEL,15448205-d33c-49ad-9637-b06e00e113fa,2016-12-31,2017-12-31,0.41149185675958233,0.4121224175542153,0.4121224175542153,0.0006305607946329728,0.0006305607946329728,0.044740587724049326,0.04557936609778006,0.04557936609778006,0.0680177853912912,0.06929295521621968,0.06929295521621968,0.1693139020795808,0.1664955729500834,0.1664955729500834,0.1532163595369752,0.1560887976389067,0.1560887976389067,1.0,0.9774399623075537,0.9774399623075537,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,730.5,730.5,0.018402589714199342,0.018402589714199342,False,False,0.41149185675958233
